productId,setName,productName,rarity,subTypeName,marketPrice,midPrice,lowPrice,highPrice
124098,XY - Evolutions,Revive,Uncommon,Normal,0.11,0.2,0.01,90.24
124098,XY - Evolutions,Revive,Uncommon,Reverse Holofoil,1.79,0.9,0.28,7.99
125122,EX Battle Stadium,Professor Birch,Uncommon,Normal,0.58,0.52,0.2,19.98
126914,SM Base Set,Crabominable,Rare,Normal,0.13,0.2,0.02,19.98
126914,SM Base Set,Crabominable,Rare,Reverse Holofoil,0.29,0.29,0.1,50.0
131010,SM - Guardians Rising,Goomy,Common,Normal,0.68,0.69,0.2,19.98
131010,SM - Guardians Rising,Goomy,Common,Reverse Holofoil,8.17,10.0,4.99,19.98
133826,Miscellaneous Cards & Products,Litten - 24/149 (Cosmos Holo),Promo,Holofoil,3.07,7.76,2.99,43.69
141250,Miscellaneous Cards & Products,Gyarados - 21/98 (Cosmos Holo),Holo Rare,Holofoil,68.21,149.9,84.98,9999.0
148418,SM - Burning Shadows,Mysterious Powers Tin [Ho-Oh GX],,,,,,
153282,Miscellaneous Cards & Products,Ponyta - 14/83 (Toys R Us Promo),Promo,Holofoil,100.98,593.57,117.44,1069.69
157634,SM - Ultra Prism,Araquanid,Rare,Normal,0.23,0.29,0.07,2.99
157634,SM - Ultra Prism,Araquanid,Rare,Reverse Holofoil,0.35,0.48,0.2,1.55
175554,SM - Celestial Storm,Battle Arena Deck [Mega Blastoise & Mega Charizard X],,,,,,
178882,SM - Lost Thunder,Chinchou,Common,Normal,0.17,0.2,0.04,19.98
178882,SM - Lost Thunder,Chinchou,Common,Reverse Holofoil,0.4,0.4,0.11,19.98
181698,SM - Team Up,Team Up Booster Box,,Normal,11333.47,24999.99,24999.99,24999.99
188354,League & Championship Cards,Blend Energy GRPD - 117/124 (League Promo),Promo,Reverse Holofoil,9.2,10.0,7.72,92.6
189122,SM - Unbroken Bonds,Slowpoke,Common,Reverse Holofoil,2.47,4.0,0.35,20.0
189122,SM - Unbroken Bonds,Slowpoke,Common,Normal,0.36,0.41,0.1,2.99
195010,SM - Unified Minds,Drifloon,Common,Normal,0.39,0.37,0.1,19.8
195010,SM - Unified Minds,Drifloon,Common,Reverse Holofoil,0.58,0.58,0.26,19.98
195266,SM - Unified Minds,Tag Switch,Uncommon,Reverse Holofoil,0.46,0.4,0.15,19.98
195266,SM - Unified Minds,Tag Switch,Uncommon,Normal,0.24,0.25,0.07,19.98
197826,Hidden Fates: Shiny Vault,Scizor GX,Shiny Holo Rare,Holofoil,79.74,85.32,58.5,144.38
201154,SM - Cosmic Eclipse,Crabrawler,Common,Normal,0.2,0.2,0.05,19.98
201154,SM - Cosmic Eclipse,Crabrawler,Common,Reverse Holofoil,0.37,0.37,0.1,19.98
213186,SWSH02: Rebel Clash,Medicham,Uncommon,Normal,0.04,0.18,0.02,19.98
213186,SWSH02: Rebel Clash,Medicham,Uncommon,Reverse Holofoil,0.28,0.28,0.15,19.98
216514,Miscellaneous Cards & Products,Alolan Ninetales - 28/147 (Water Web Holo),Holo Rare,Holofoil,8.62,11.63,5.9,96.95
219074,SWSH03: Darkness Ablaze,Pansage,Common,Normal,0.04,0.15,0.01,25.05
219074,SWSH03: Darkness Ablaze,Pansage,Common,Reverse Holofoil,0.23,0.25,0.08,19.98
226498,SWSH04: Vivid Voltage,Bea,Uncommon,Reverse Holofoil,0.25,0.25,0.01,19.98
226498,SWSH04: Vivid Voltage,Bea,Uncommon,Normal,0.04,0.19,0.01,19.98
232386,Shining Fates,Thwackey,Uncommon,Normal,0.08,0.16,0.01,25.07
232386,Shining Fates,Thwackey,Uncommon,Reverse Holofoil,0.26,0.25,0.06,25.25
235714,Miscellaneous Cards & Products,Collector's Pin Two Pack Blisters [Dawn Wings Necrozma],,,,,,
241858,SWSH06: Chilling Reign,Rapid Strike Scroll of the Skies,Uncommon,Reverse Holofoil,0.17,0.2,0.02,999.0
